"resolution","structureId","experimentalTechnique","source","identity"
1.8,"2HZQ","X-ray","Homo sapiens",43.662
2.65,"7YX1","X-ray","Sander",39.716
2.6,"1Z24","X-ray","Manduca sexta",31.061
